Specialization,Certifications,CGPA/Percentage,Skills_ID_Categorized,Recommended_Career,Education_Level_ID_Categorized,Certifications_ID_Categorized
Science,CFA Level 1,73,"Konseling, Machine Learning",Eksekutif Pemasaran,SMA/Sederajat,Keuangan (CFA)
Finance,Digital Marketing,83,Analisis Data & IT,Financial Analyst,Sarjana,Pemasaran Digital
Commerce,AWS Certified,72,"Keuangan & Akuntansi, Pemasaran, SQL",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Science,AWS Certified,91,"Analisis Data & IT, MS Office",Eksekutif Pemasaran,SMA/Sederajat,Cloud bersertifikat (AWS)
Engineering,Creative Writing,83,Keuangan & Akuntansi,Software Engineer,SMA/Sederajat,Penulisan Kreatif
Commerce,Digital Marketing,65,SQL,Konselor Sekolah,Magister,Pemasaran Digital
Engineering,Digital Marketing,77,"Komunikasi, Pemasaran",Financial Analyst,SMA/Sederajat,Pemasaran Digital
Psychology,AWS Certified,65,"Keuangan & Akuntansi, Komunikasi, Konseling",Software Engineer,Magister,Cloud bersertifikat (AWS)
Arts,Creative Writing,61,Python,Akademisi/Dosen,Sarjana,Penulisan Kreatif
Business,Tally ERP,93,"Analisis Data & IT, Keuangan & Akuntansi",Ilmuwan Peneliti,SMA/Sederajat,Keuangan & ERP
Computer Science,Creative Writing,85,"Keuangan & Akuntansi, Pemasaran",Eksekutif Pemasaran,SMA/Sederajat,Penulisan Kreatif
Business,Mental Health Basics,95,Python,Eksekutif Pemasaran,Sarjana,Kesehatan Mental
Finance,No Certification,86,Pemasaran,Business Analyst,SMA/Sederajat,Tanpa Sertifikat
Business,No Certification,76,"Analisis Data & IT, Keuangan & Akuntansi",Operator Entri Data,Magister,Tanpa Sertifikat
Finance,No Certification,86,MS Office,Akademisi/Dosen,SMA/Sederajat,Tanpa Sertifikat
Engineering,Tally ERP,94,"Konseling, MS Office",Business Analyst,SMA/Sederajat,Keuangan & ERP
Finance,AWS Certified,79,Machine Learning,Konselor Sekolah,Doktor,Cloud bersertifikat (AWS)
Business,Digital Marketing,72,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Konselor Sekolah,Magister,Pemasaran Digital
Science,Tally ERP,79,Konseling,Eksekutif Pemasaran,Sarjana,Keuangan & ERP
Finance,Digital Marketing,64,Machine Learning,Ilmuwan Peneliti,Doktor,Pemasaran Digital
Psychology,AWS Certified,70,"Analisis Data & IT, Konseling, Pemasaran",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Arts,Digital Marketing,85,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Operator Entri Data,SMA/Sederajat,Pemasaran Digital
Arts,Creative Writing,86,Analisis Data & IT,ML Engineer,Sarjana,Penulisan Kreatif
Finance,Tally ERP,64,"Konseling, Machine Learning, Python",Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Finance,Creative Writing,68,"Analisis Data & IT, Machine Learning",Business Analyst,Magister,Penulisan Kreatif
Engineering,Digital Marketing,76,Keuangan & Akuntansi,ML Engineer,SMA/Sederajat,Pemasaran Digital
Computer Science,Digital Marketing,69,"Keuangan & Akuntansi, Komunikasi",Software Engineer,Sarjana,Pemasaran Digital
Engineering,Mental Health Basics,75,Komunikasi,Financial Analyst,Magister,Kesehatan Mental
Commerce,Digital Marketing,62,Konseling,ML Engineer,SMA/Sederajat,Pemasaran Digital
Science,Tally ERP,71,"Komunikasi, Pemasaran, SQL",Software Engineer,Sarjana,Keuangan & ERP
Commerce,Tally ERP,74,"Analisis Data & IT, Keuangan & Akuntansi",Eksekutif Pemasaran,SMA/Sederajat,Keuangan & ERP
Psychology,Creative Writing,60,"Analisis Data & IT, Konseling, Python",Asisten Penjualan,Sarjana,Penulisan Kreatif
Business,No Certification,91,Keuangan & Akuntansi,Konselor Sekolah,SMA/Sederajat,Tanpa Sertifikat
Computer Science,No Certification,95,"Keuangan & Akuntansi, Konseling, Python",Operator Entri Data,SMA/Sederajat,Tanpa Sertifikat
Business,Digital Marketing,85,MS Office,Software Engineer,SMA/Sederajat,Pemasaran Digital
Science,AWS Certified,85,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Konselor Sekolah,Doktor,Cloud bersertifikat (AWS)
Arts,Tally ERP,89,"Analisis Data & IT, Python, SQL",Business Analyst,SMA/Sederajat,Keuangan & ERP
Computer Science,CFA Level 1,68,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Operator Entri Data,Magister,Keuangan (CFA)
Business,Digital Marketing,73,"Keuangan & Akuntansi, Pemasaran",Asisten Penjualan,SMA/Sederajat,Pemasaran Digital
Science,CFA Level 1,92,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",ML Engineer,SMA/Sederajat,Keuangan (CFA)
Computer Science,Google Data Analytics,83,"Keuangan & Akuntansi, MS Office, Machine Learning",Akuntan Junior,SMA/Sederajat,Analisis Data Google
Arts,Creative Writing,69,"Keuangan & Akuntansi, Konseling, Machine Learning",Business Analyst,Magister,Penulisan Kreatif
Commerce,AWS Certified,85,Konseling,Staf Administrasi,Sarjana,Cloud bersertifikat (AWS)
Business,Creative Writing,70,"Komunikasi, Pemasaran",Akademisi/Dosen,SMA/Sederajat,Penulisan Kreatif
Finance,CFA Level 1,63,"Konseling, Machine Learning, Pemasaran",ML Engineer,Doktor,Keuangan (CFA)
Computer Science,Tally ERP,83,"Keuangan & Akuntansi, Pemasaran",Ilmuwan Peneliti,Sarjana,Keuangan & ERP
Science,Tally ERP,82,"Konseling, Pemasaran",ML Engineer,Doktor,Keuangan & ERP
Finance,No Certification,70,"Analisis Data & IT, Python",Akuntan Junior,Sarjana,Tanpa Sertifikat
Science,Digital Marketing,89,Keuangan & Akuntansi,Akademisi/Dosen,Magister,Pemasaran Digital
Business,Digital Marketing,78,"Python, SQL",Operator Entri Data,Sarjana,Pemasaran Digital
Finance,CFA Level 1,92,"Keuangan & Akuntansi, Komunikasi, Machine Learning",Operator Entri Data,Doktor,Keuangan (CFA)
Arts,CFA Level 1,76,"Keuangan & Akuntansi, Konseling, SQL",Akuntan Junior,Magister,Keuangan (CFA)
Engineering,No Certification,81,Python,Software Engineer,SMA/Sederajat,Tanpa Sertifikat
Psychology,Creative Writing,65,"Analisis Data & IT, Machine Learning, Python",Eksekutif Pemasaran,Doktor,Penulisan Kreatif
Psychology,Digital Marketing,90,"Keuangan & Akuntansi, SQL",Konselor Sekolah,Sarjana,Pemasaran Digital
Engineering,Creative Writing,72,"Konseling, MS Office",Software Engineer,Sarjana,Penulisan Kreatif
Arts,Digital Marketing,69,Analisis Data & IT,Ilmuwan Peneliti,Sarjana,Pemasaran Digital
Computer Science,Google Data Analytics,85,"MS Office, SQL",Akademisi/Dosen,Sarjana,Analisis Data Google
Arts,Digital Marketing,81,Machine Learning,Ilmuwan Peneliti,Sarjana,Pemasaran Digital
Computer Science,CFA Level 1,60,Konseling,Software Engineer,SMA/Sederajat,Keuangan (CFA)
Psychology,AWS Certified,67,Keuangan & Akuntansi,Ilmuwan Peneliti,Sarjana,Cloud bersertifikat (AWS)
Computer Science,Google Data Analytics,82,"Komunikasi, Machine Learning, Pemasaran",Financial Analyst,Sarjana,Analisis Data Google
Engineering,AWS Certified,68,"Keuangan & Akuntansi, Komunikasi",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Finance,Creative Writing,80,"Keuangan & Akuntansi, Komunikasi",Software Engineer,SMA/Sederajat,Penulisan Kreatif
Science,Tally ERP,80,"Keuangan & Akuntansi, MS Office",Operator Entri Data,Doktor,Keuangan & ERP
Engineering,No Certification,76,"Keuangan & Akuntansi, MS Office",Operator Entri Data,Sarjana,Tanpa Sertifikat
Finance,Mental Health Basics,70,Keuangan & Akuntansi,Asisten Penjualan,SMA/Sederajat,Kesehatan Mental
Arts,AWS Certified,72,"Keuangan & Akuntansi, Pemasaran, Python",Konselor Sekolah,Magister,Cloud bersertifikat (AWS)
Arts,Digital Marketing,89,"Keuangan & Akuntansi, Machine Learning",Asisten Penjualan,Sarjana,Pemasaran Digital
Science,CFA Level 1,92,Python,Software Engineer,Sarjana,Keuangan (CFA)
Psychology,Mental Health Basics,70,Pemasaran,Operator Entri Data,SMA/Sederajat,Kesehatan Mental
Science,No Certification,75,"Analisis Data & IT, Keuangan & Akuntansi",Asisten Penjualan,Doktor,Tanpa Sertifikat
Business,AWS Certified,63,Komunikasi,Operator Entri Data,Doktor,Cloud bersertifikat (AWS)
Commerce,Creative Writing,70,Keuangan & Akuntansi,Operator Entri Data,Doktor,Penulisan Kreatif
Business,Google Data Analytics,69,Machine Learning,Software Engineer,Sarjana,Analisis Data Google
Engineering,No Certification,88,"Konseling, MS Office, Pemasaran",Financial Analyst,Doktor,Tanpa Sertifikat
Finance,Tally ERP,72,Analisis Data & IT,Financial Analyst,Sarjana,Keuangan & ERP
Business,Tally ERP,95,Keuangan & Akuntansi,ML Engineer,Magister,Keuangan & ERP
Psychology,Mental Health Basics,79,Python,Asisten Penjualan,Magister,Kesehatan Mental
Business,Mental Health Basics,85,"Analisis Data & IT, Komunikasi, Python",Operator Entri Data,Doktor,Kesehatan Mental
Business,Mental Health Basics,64,"Keuangan & Akuntansi, Machine Learning",ML Engineer,Magister,Kesehatan Mental
Business,Mental Health Basics,95,"Keuangan & Akuntansi, Konseling, MS Office",Akuntan Junior,Sarjana,Kesehatan Mental
Computer Science,Creative Writing,61,Komunikasi,ML Engineer,Magister,Penulisan Kreatif
Arts,Mental Health Basics,78,"Keuangan & Akuntansi, Machine Learning",Software Engineer,Sarjana,Kesehatan Mental
Psychology,Mental Health Basics,77,"Konseling, MS Office, Machine Learning",ML Engineer,SMA/Sederajat,Kesehatan Mental
Computer Science,CFA Level 1,90,"Keuangan & Akuntansi, Python",Asisten Penjualan,SMA/Sederajat,Keuangan (CFA)
Computer Science,Google Data Analytics,90,"Keuangan & Akuntansi, Pemasaran",Operator Entri Data,SMA/Sederajat,Analisis Data Google
Psychology,Google Data Analytics,64,"Analisis Data & IT, Komunikasi",Financial Analyst,Doktor,Analisis Data Google
Commerce,Google Data Analytics,83,"Analisis Data & IT, Pemasaran",Asisten Penjualan,Doktor,Analisis Data Google
Psychology,CFA Level 1,64,Analisis Data & IT,Konselor Sekolah,SMA/Sederajat,Keuangan (CFA)
Psychology,No Certification,76,"Analisis Data & IT, Keuangan & Akuntansi",ML Engineer,Sarjana,Tanpa Sertifikat
Engineering,CFA Level 1,62,SQL,ML Engineer,Doktor,Keuangan (CFA)
Commerce,Tally ERP,86,Machine Learning,Konselor Sekolah,Magister,Keuangan & ERP
Engineering,AWS Certified,65,"Keuangan & Akuntansi, Machine Learning, Pemasaran",ML Engineer,Doktor,Cloud bersertifikat (AWS)
Science,AWS Certified,60,"Konseling, MS Office",Akademisi/Dosen,Sarjana,Cloud bersertifikat (AWS)
Computer Science,CFA Level 1,72,"Python, SQL",ML Engineer,Magister,Keuangan (CFA)
Engineering,No Certification,72,"MS Office, Pemasaran, Python",Software Engineer,SMA/Sederajat,Tanpa Sertifikat
Arts,Tally ERP,61,"Keuangan & Akuntansi, Komunikasi, Pemasaran",Akuntan Junior,Doktor,Keuangan & ERP
Commerce,Digital Marketing,79,Konseling,Ilmuwan Peneliti,Doktor,Pemasaran Digital
Science,Google Data Analytics,67,"Machine Learning, Pemasaran, Python",Software Engineer,SMA/Sederajat,Analisis Data Google
Psychology,Creative Writing,80,Pemasaran,Konselor Sekolah,Doktor,Penulisan Kreatif
Psychology,Creative Writing,90,"Keuangan & Akuntansi, Machine Learning",Staf Administrasi,Magister,Penulisan Kreatif
Computer Science,Google Data Analytics,85,"Konseling, MS Office, SQL",Software Engineer,SMA/Sederajat,Analisis Data Google
Psychology,Creative Writing,62,Konseling,Akuntan Junior,Sarjana,Penulisan Kreatif
Commerce,AWS Certified,71,Konseling,Ilmuwan Peneliti,Magister,Cloud bersertifikat (AWS)
Engineering,No Certification,78,MS Office,Asisten Penjualan,Sarjana,Tanpa Sertifikat
Arts,No Certification,62,Keuangan & Akuntansi,Staf Administrasi,Magister,Tanpa Sertifikat
Arts,Digital Marketing,74,Machine Learning,ML Engineer,Doktor,Pemasaran Digital
Arts,AWS Certified,87,Analisis Data & IT,Financial Analyst,Doktor,Cloud bersertifikat (AWS)
Arts,Mental Health Basics,82,Komunikasi,Staf Administrasi,Doktor,Kesehatan Mental
Business,Mental Health Basics,82,"Keuangan & Akuntansi, Machine Learning, Python",ML Engineer,SMA/Sederajat,Kesehatan Mental
Computer Science,Google Data Analytics,78,"Konseling, Python",Asisten Penjualan,Magister,Analisis Data Google
Engineering,Google Data Analytics,80,"MS Office, Python",Konselor Sekolah,Magister,Analisis Data Google
Business,AWS Certified,84,Analisis Data & IT,Akuntan Junior,Doktor,Cloud bersertifikat (AWS)
Psychology,Creative Writing,87,"Komunikasi, Pemasaran",Software Engineer,SMA/Sederajat,Penulisan Kreatif
Finance,No Certification,64,"Analisis Data & IT, Komunikasi",Operator Entri Data,SMA/Sederajat,Tanpa Sertifikat
Engineering,CFA Level 1,82,MS Office,Akuntan Junior,Magister,Keuangan (CFA)
Arts,Google Data Analytics,69,"Komunikasi, SQL",Financial Analyst,Doktor,Analisis Data Google
Computer Science,Tally ERP,92,Konseling,Asisten Penjualan,Magister,Keuangan & ERP
Business,Tally ERP,94,Pemasaran,Eksekutif Pemasaran,Sarjana,Keuangan & ERP
Computer Science,Creative Writing,87,"Keuangan & Akuntansi, SQL",Business Analyst,Magister,Penulisan Kreatif
Finance,AWS Certified,75,Pemasaran,Akademisi/Dosen,SMA/Sederajat,Cloud bersertifikat (AWS)
Finance,AWS Certified,72,"Analisis Data & IT, Konseling, Pemasaran",Operator Entri Data,Magister,Cloud bersertifikat (AWS)
Psychology,Mental Health Basics,79,Komunikasi,ML Engineer,Sarjana,Kesehatan Mental
Finance,Digital Marketing,81,"Konseling, MS Office, Python",Ilmuwan Peneliti,Magister,Pemasaran Digital
Commerce,No Certification,63,"Analisis Data & IT, Machine Learning, Python",Ilmuwan Peneliti,SMA/Sederajat,Tanpa Sertifikat
Arts,Mental Health Basics,85,"Keuangan & Akuntansi, MS Office",Business Analyst,Magister,Kesehatan Mental
Computer Science,Google Data Analytics,62,Machine Learning,Software Engineer,Magister,Analisis Data Google
Finance,No Certification,94,"Analisis Data & IT, Komunikasi, Konseling",Eksekutif Pemasaran,Sarjana,Tanpa Sertifikat
Psychology,Creative Writing,72,Pemasaran,Software Engineer,Doktor,Penulisan Kreatif
Science,AWS Certified,86,Keuangan & Akuntansi,Business Analyst,Sarjana,Cloud bersertifikat (AWS)
Arts,Digital Marketing,62,"MS Office, Python",Software Engineer,Sarjana,Pemasaran Digital
Science,Tally ERP,95,"Keuangan & Akuntansi, Python",Eksekutif Pemasaran,SMA/Sederajat,Keuangan & ERP
Engineering,Google Data Analytics,88,"Komunikasi, Konseling",Staf Administrasi,SMA/Sederajat,Analisis Data Google
Psychology,CFA Level 1,88,"Konseling, SQL",Financial Analyst,SMA/Sederajat,Keuangan (CFA)
Business,Tally ERP,84,"Keuangan & Akuntansi, Konseling",Eksekutif Pemasaran,Magister,Keuangan & ERP
Psychology,No Certification,83,"Keuangan & Akuntansi, Komunikasi, Konseling",ML Engineer,Doktor,Tanpa Sertifikat
Finance,CFA Level 1,73,Analisis Data & IT,Business Analyst,Magister,Keuangan (CFA)
Science,Tally ERP,67,"Komunikasi, Pemasaran, Python",Software Engineer,Doktor,Keuangan & ERP
Engineering,AWS Certified,75,"Komunikasi, Pemasaran, Python",Operator Entri Data,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,No Certification,88,"Keuangan & Akuntansi, Python",Asisten Penjualan,SMA/Sederajat,Tanpa Sertifikat
Science,AWS Certified,65,Analisis Data & IT,Staf Administrasi,Sarjana,Cloud bersertifikat (AWS)
Psychology,Tally ERP,62,"Keuangan & Akuntansi, Konseling, MS Office",Akademisi/Dosen,SMA/Sederajat,Keuangan & ERP
Business,AWS Certified,77,Keuangan & Akuntansi,Financial Analyst,Doktor,Cloud bersertifikat (AWS)
Computer Science,Creative Writing,82,Machine Learning,ML Engineer,Magister,Penulisan Kreatif
Engineering,AWS Certified,91,"Keuangan & Akuntansi, Machine Learning",Business Analyst,Sarjana,Cloud bersertifikat (AWS)
Commerce,Creative Writing,68,"Analisis Data & IT, Pemasaran, Python",Asisten Penjualan,SMA/Sederajat,Penulisan Kreatif
Business,No Certification,81,"Komunikasi, MS Office",Software Engineer,Sarjana,Tanpa Sertifikat
Engineering,Creative Writing,77,"Komunikasi, Konseling, MS Office",Eksekutif Pemasaran,Doktor,Penulisan Kreatif
Engineering,Creative Writing,70,"Keuangan & Akuntansi, Komunikasi, Machine Learning",Financial Analyst,Doktor,Penulisan Kreatif
Computer Science,Creative Writing,67,MS Office,Staf Administrasi,Doktor,Penulisan Kreatif
Science,Google Data Analytics,60,"Analisis Data & IT, Keuangan & Akuntansi",Financial Analyst,SMA/Sederajat,Analisis Data Google
Finance,Digital Marketing,91,"Keuangan & Akuntansi, Komunikasi, MS Office",Business Analyst,Doktor,Pemasaran Digital
Science,Creative Writing,85,SQL,Business Analyst,SMA/Sederajat,Penulisan Kreatif
Psychology,Tally ERP,91,"Analisis Data & IT, Komunikasi, Machine Learning",Operator Entri Data,Sarjana,Keuangan & ERP
Engineering,AWS Certified,71,"Keuangan & Akuntansi, SQL",Konselor Sekolah,SMA/Sederajat,Cloud bersertifikat (AWS)
Arts,Digital Marketing,80,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Staf Administrasi,Sarjana,Pemasaran Digital
Business,Google Data Analytics,83,Komunikasi,Software Engineer,Doktor,Analisis Data Google
Engineering,Tally ERP,94,"Analisis Data & IT, Machine Learning, SQL",Financial Analyst,Magister,Keuangan & ERP
Computer Science,Digital Marketing,94,Keuangan & Akuntansi,Financial Analyst,SMA/Sederajat,Pemasaran Digital
Engineering,Google Data Analytics,61,Keuangan & Akuntansi,Akuntan Junior,SMA/Sederajat,Analisis Data Google
Engineering,CFA Level 1,81,Keuangan & Akuntansi,Software Engineer,SMA/Sederajat,Keuangan (CFA)
Commerce,Digital Marketing,66,Konseling,Akademisi/Dosen,SMA/Sederajat,Pemasaran Digital
Arts,CFA Level 1,95,"Keuangan & Akuntansi, Konseling, Pemasaran",Asisten Penjualan,SMA/Sederajat,Keuangan (CFA)
Psychology,Mental Health Basics,82,"Analisis Data & IT, Komunikasi, Pemasaran",Financial Analyst,SMA/Sederajat,Kesehatan Mental
Commerce,Digital Marketing,80,"Pemasaran, SQL",Akuntan Junior,Sarjana,Pemasaran Digital
Engineering,Tally ERP,74,"Keuangan & Akuntansi, Konseling, Pemasaran",Eksekutif Pemasaran,Sarjana,Keuangan & ERP
Engineering,Mental Health Basics,80,"MS Office, Pemasaran",Eksekutif Pemasaran,SMA/Sederajat,Kesehatan Mental
Arts,Digital Marketing,92,"Analisis Data & IT, Keuangan & Akuntansi, Pemasaran",Eksekutif Pemasaran,Sarjana,Pemasaran Digital
Computer Science,Mental Health Basics,78,"MS Office, Pemasaran",Akademisi/Dosen,SMA/Sederajat,Kesehatan Mental
Psychology,AWS Certified,65,Keuangan & Akuntansi,Konselor Sekolah,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,No Certification,89,"Komunikasi, Python",Asisten Penjualan,SMA/Sederajat,Tanpa Sertifikat
Arts,Google Data Analytics,90,"Analisis Data & IT, Komunikasi, MS Office",Konselor Sekolah,Sarjana,Analisis Data Google
Commerce,Digital Marketing,63,Keuangan & Akuntansi,Business Analyst,SMA/Sederajat,Pemasaran Digital
Computer Science,CFA Level 1,93,"Analisis Data & IT, Keuangan & Akuntansi, MS Office",Business Analyst,SMA/Sederajat,Keuangan (CFA)
Computer Science,Tally ERP,95,"Analisis Data & IT, Konseling, Pemasaran",Staf Administrasi,Sarjana,Keuangan & ERP
Engineering,Mental Health Basics,63,"Analisis Data & IT, Keuangan & Akuntansi",Eksekutif Pemasaran,Magister,Kesehatan Mental
Finance,Creative Writing,64,"Keuangan & Akuntansi, Komunikasi, Python",Ilmuwan Peneliti,Doktor,Penulisan Kreatif
Finance,Tally ERP,73,Python,Eksekutif Pemasaran,Doktor,Keuangan & ERP
Arts,No Certification,76,"Analisis Data & IT, Keuangan & Akuntansi, Machine Learning",Software Engineer,Magister,Tanpa Sertifikat
Science,Digital Marketing,62,"Keuangan & Akuntansi, Konseling, SQL",Staf Administrasi,Magister,Pemasaran Digital
Computer Science,AWS Certified,83,Python,Ilmuwan Peneliti,Magister,Cloud bersertifikat (AWS)
Psychology,Creative Writing,82,"Keuangan & Akuntansi, Komunikasi, Python",Konselor Sekolah,Magister,Penulisan Kreatif
Computer Science,Google Data Analytics,79,Machine Learning,Business Analyst,Doktor,Analisis Data Google
Computer Science,No Certification,84,SQL,Eksekutif Pemasaran,SMA/Sederajat,Tanpa Sertifikat
Arts,Digital Marketing,82,"Keuangan & Akuntansi, Komunikasi, Pemasaran",Akuntan Junior,Sarjana,Pemasaran Digital
Finance,Tally ERP,94,"Konseling, Pemasaran",Financial Analyst,SMA/Sederajat,Keuangan & ERP
Science,CFA Level 1,87,"Keuangan & Akuntansi, SQL",Operator Entri Data,Magister,Keuangan (CFA)
Commerce,Digital Marketing,80,"Komunikasi, Konseling, Python",Business Analyst,SMA/Sederajat,Pemasaran Digital
Commerce,Creative Writing,74,"Keuangan & Akuntansi, Machine Learning, Pemasaran",ML Engineer,Doktor,Penulisan Kreatif
Computer Science,Creative Writing,80,Keuangan & Akuntansi,Ilmuwan Peneliti,Sarjana,Penulisan Kreatif
Computer Science,Creative Writing,61,Keuangan & Akuntansi,Business Analyst,Sarjana,Penulisan Kreatif
Psychology,AWS Certified,79,Analisis Data & IT,ML Engineer,Doktor,Cloud bersertifikat (AWS)
Arts,Tally ERP,80,"Keuangan & Akuntansi, Komunikasi, Pemasaran",Business Analyst,SMA/Sederajat,Keuangan & ERP
Computer Science,Mental Health Basics,74,"Analisis Data & IT, Komunikasi, SQL",Ilmuwan Peneliti,SMA/Sederajat,Kesehatan Mental
Business,CFA Level 1,88,Pemasaran,Business Analyst,SMA/Sederajat,Keuangan (CFA)
Commerce,No Certification,76,"Komunikasi, Machine Learning",Operator Entri Data,Doktor,Tanpa Sertifikat
Finance,Tally ERP,70,Keuangan & Akuntansi,Staf Administrasi,Sarjana,Keuangan & ERP
Commerce,AWS Certified,86,"Komunikasi, Machine Learning",Akuntan Junior,SMA/Sederajat,Cloud bersertifikat (AWS)
Commerce,Creative Writing,82,"Keuangan & Akuntansi, Machine Learning, SQL",Akuntan Junior,SMA/Sederajat,Penulisan Kreatif
Business,Mental Health Basics,66,Keuangan & Akuntansi,Operator Entri Data,Doktor,Kesehatan Mental
Science,Tally ERP,67,"Komunikasi, MS Office",Asisten Penjualan,SMA/Sederajat,Keuangan & ERP
Arts,CFA Level 1,88,Konseling,Asisten Penjualan,Doktor,Keuangan (CFA)
Finance,Digital Marketing,85,"Komunikasi, SQL",Akademisi/Dosen,Sarjana,Pemasaran Digital
Engineering,CFA Level 1,71,"Konseling, MS Office, SQL",Akademisi/Dosen,SMA/Sederajat,Keuangan (CFA)
Engineering,Mental Health Basics,63,Keuangan & Akuntansi,Konselor Sekolah,SMA/Sederajat,Kesehatan Mental
Arts,Mental Health Basics,81,Keuangan & Akuntansi,Staf Administrasi,SMA/Sederajat,Kesehatan Mental
Engineering,Mental Health Basics,87,MS Office,ML Engineer,SMA/Sederajat,Kesehatan Mental
Psychology,CFA Level 1,91,"Pemasaran, SQL",Staf Administrasi,Magister,Keuangan (CFA)
Engineering,No Certification,95,"Keuangan & Akuntansi, MS Office, Machine Learning",Eksekutif Pemasaran,Doktor,Tanpa Sertifikat
Business,Digital Marketing,86,MS Office,Software Engineer,Sarjana,Pemasaran Digital
Science,Google Data Analytics,82,"Analisis Data & IT, MS Office",Business Analyst,SMA/Sederajat,Analisis Data Google
Arts,Digital Marketing,71,"Komunikasi, Python, SQL",Asisten Penjualan,Doktor,Pemasaran Digital
Science,Tally ERP,86,"Komunikasi, SQL",Konselor Sekolah,SMA/Sederajat,Keuangan & ERP
Arts,CFA Level 1,77,"MS Office, SQL",Software Engineer,SMA/Sederajat,Keuangan (CFA)
Business,Google Data Analytics,78,"Analisis Data & IT, MS Office, Pemasaran",ML Engineer,Magister,Analisis Data Google
Computer Science,Tally ERP,67,Keuangan & Akuntansi,Ilmuwan Peneliti,Sarjana,Keuangan & ERP
Computer Science,CFA Level 1,72,Konseling,Akuntan Junior,Doktor,Keuangan (CFA)
Science,Tally ERP,67,"Analisis Data & IT, Keuangan & Akuntansi",Akuntan Junior,Doktor,Keuangan & ERP
Finance,Google Data Analytics,68,"Keuangan & Akuntansi, MS Office",Staf Administrasi,SMA/Sederajat,Analisis Data Google
Finance,No Certification,62,"Komunikasi, Konseling, SQL",Operator Entri Data,Sarjana,Tanpa Sertifikat
Finance,No Certification,76,"Komunikasi, Machine Learning, Pemasaran",Ilmuwan Peneliti,Sarjana,Tanpa Sertifikat
Psychology,AWS Certified,65,Keuangan & Akuntansi,Operator Entri Data,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,CFA Level 1,89,Konseling,Staf Administrasi,Sarjana,Keuangan (CFA)
Finance,Google Data Analytics,69,Machine Learning,Akademisi/Dosen,SMA/Sederajat,Analisis Data Google
Finance,Digital Marketing,86,"Analisis Data & IT, Pemasaran",Asisten Penjualan,SMA/Sederajat,Pemasaran Digital
Psychology,Tally ERP,91,Komunikasi,Asisten Penjualan,Magister,Keuangan & ERP
Engineering,Digital Marketing,72,"Keuangan & Akuntansi, Python",Staf Administrasi,Sarjana,Pemasaran Digital
Psychology,Tally ERP,94,"Konseling, Pemasaran",Financial Analyst,Doktor,Keuangan & ERP
Computer Science,Google Data Analytics,90,"Komunikasi, Pemasaran, SQL",Ilmuwan Peneliti,SMA/Sederajat,Analisis Data Google
Computer Science,AWS Certified,93,"Keuangan & Akuntansi, MS Office, SQL",Eksekutif Pemasaran,Doktor,Cloud bersertifikat (AWS)
Computer Science,Google Data Analytics,64,"Analisis Data & IT, Keuangan & Akuntansi, Konseling",ML Engineer,Sarjana,Analisis Data Google
Psychology,Google Data Analytics,64,"Konseling, MS Office, SQL",Konselor Sekolah,SMA/Sederajat,Analisis Data Google
Psychology,Mental Health Basics,85,Komunikasi,Eksekutif Pemasaran,SMA/Sederajat,Kesehatan Mental
Engineering,Google Data Analytics,83,"Analisis Data & IT, Komunikasi, MS Office",Financial Analyst,Sarjana,Analisis Data Google
Finance,CFA Level 1,89,Keuangan & Akuntansi,Staf Administrasi,Doktor,Keuangan (CFA)
Science,Mental Health Basics,85,Pemasaran,Financial Analyst,Doktor,Kesehatan Mental
Engineering,Tally ERP,89,Machine Learning,Ilmuwan Peneliti,Magister,Keuangan & ERP
Business,CFA Level 1,90,"Analisis Data & IT, Keuangan & Akuntansi, MS Office",Operator Entri Data,SMA/Sederajat,Keuangan (CFA)
Science,CFA Level 1,74,MS Office,Akuntan Junior,Doktor,Keuangan (CFA)
Psychology,No Certification,80,"Analisis Data & IT, Keuangan & Akuntansi, Komunikasi",Eksekutif Pemasaran,Magister,Tanpa Sertifikat
Science,CFA Level 1,75,Keuangan & Akuntansi,ML Engineer,SMA/Sederajat,Keuangan (CFA)
Psychology,Creative Writing,79,"Komunikasi, Konseling, Pemasaran",Operator Entri Data,Sarjana,Penulisan Kreatif
Commerce,AWS Certified,74,"MS Office, Pemasaran",Financial Analyst,Magister,Cloud bersertifikat (AWS)
Computer Science,AWS Certified,87,"Keuangan & Akuntansi, Machine Learning, SQL",Eksekutif Pemasaran,Magister,Cloud bersertifikat (AWS)
Engineering,Creative Writing,71,SQL,Asisten Penjualan,SMA/Sederajat,Penulisan Kreatif
