jenis_kelamin,jurusan_s1,spesialisasi_s1,minat,keterampilan,judul_sertifikasi,pekerjaan_pertama,ipk_s1,profil_lengkap
Female,Sarjana Sains,Aplikasi Komputer,Cloud Computing,Java; Python; SQL,"Linux,Git",Software,3.4,Sarjana Sains | Aplikasi Komputer | Cloud Computing | Java; Python; SQL | Software
Male,Sarjana Teknik,Teknik Informatika,Teknologi; Analisis Data; Ilmuwan Data,Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Java; Pembelajaran Mesin; Pemrograman; Python; SQL,No,Data Scientist,2.74,Sarjana Teknik | Teknik Informatika | Technology;Data Analytics;Data Scientist | Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Java; Pembelajaran Mesin; Pemrograman; Python; SQL | Data Scientist
Female,Sarjana Sains,Teknik Informatika,Penelitian; Social Justice; Understand Human Behaviour; Understand Human Body; Kepemerintahan,Artistic; C++; Creative Skills; Gathering Information; Hr; Java; Kepemimpinan; Keterampilan Komunikasi; Linux; Mendengarkan Aktif; Pemrograman; People Management,No,Tidak Tersedia,2.4,Sarjana Sains | Teknik Informatika | Research;Social Justice;Understand Human Behaviour;Understand Human Body;Govt. Job | Artistic; C++; Creative Skills; Gathering Information; Hr; Java; Kepemimpinan; Keterampilan Komunikasi; Linux; Mendengarkan Aktif; Pemrograman; People Management | Tidak Tersedia
Female,Magister Administrasi Bisnis,Teknik Informatika,Analisis Keuangan; Teknologi; Analisis Data,Berpikir Analitis; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; SQL; Visualisasi Data (Power BI/Tableau),360Digitmg Data Science Certification,Tidak Tersedia,2.36,Magister Administrasi Bisnis | Teknik Informatika | Financial Analysis;Technology;Data Analytics | Berpikir Analitis; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; SQL; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Male,Sarjana Teknik,Teknik Informatika,Ilmuwan Data; Pengembangan Web; Social Causes; All Fields Related To Data Science.Machine Learning,Angular Js; Css; Css3; Data Structure; Html5; Java Enterprise Edition; Javascript; Jquery; Python; React.Js; Ssis; Ssms,Querying Microsoft Sql Server,Software Engineer,2.7,"Sarjana Teknik | Teknik Informatika | Data Scientist,Web Development,Social Causes,All Fields Related To Data Science.Machine Learning | Angular Js; Css; Css3; Data Structure; Html5; Java Enterprise Edition; Javascript; Jquery; Python; React.Js; Ssis; Ssms | Software Engineer"
Male,Magister Komputer,Computer Application,Teknologi,Berpikir Kritis; Kepemimpinan; Pemrograman,"Manual Testing, Selenium",Qa Analyst,2.48,Magister Komputer | Computer Application | Technology | Berpikir Kritis; Kepemimpinan; Pemrograman | Qa Analyst
Male,Sarjana Teknik,Teknik Informatika,Ilmuwan Data; Pengembangan Web; Social Causes; All Fields Related To Data Science; Machine Learning,Ajax; Angular Command Line Interface (Cli; C++; Cakephp; Cascading Style Sheets (Css; Codeigniter; Css; Git; Html5; Java; Javascript; Jquery; Laravel; Linux; Mysql; SQL; Software Development; Symfony; Symfony Framework; Website Development; Xml; Yii2,Php;Html,Web Developer,3.04,"Sarjana Teknik | Teknik Informatika | Data Scientist,Web Development,Social Causes,All Fields Related To Data Science,Machine Learning | Ajax; Angular Command Line Interface (Cli; C++; Cakephp; Cascading Style Sheets (Css; Codeigniter; Css; Git; Html5; Java; Javascript; Jquery; Laravel; Linux; Mysql; SQL; Software Development; Symfony; Symfony Framework; Website Development; Xml; Yii2 | Web Developer"
Male,Sarjana Teknik,Mechanical Engineering,Data Science And Artificial Intelligence,Berpikir Analitis; Business Knowledge; Data Science Completed By Using Python And R; Kepemimpinan; Kerja Tim; Microsoft Excel; Ml; Problem Solving Skills; Python,Certification Of Completion Data Science Using Python And R,Insinyur Mekanik,2.56,Sarjana Teknik | Mechanical Engineering | Data Science And Artificial Intelligence | Berpikir Analitis; Business Knowledge; Data Science Completed By Using Python And R; Kepemimpinan; Kerja Tim; Microsoft Excel; Ml; Problem Solving Skills; Python | Mechanical Engineer
Male,Sarjana Teknik,Electronics And Communication Engineering,Teknologi; Analisis Data; Ilmuwan Data; Ilmu Data,Artificial Intelligence; Linux; Pembelajaran Mesin; Pemrograman; Python; SQL,No,Tidak Tersedia,3.23,Sarjana Teknik | Electronics And Communication Engineering | Technology;Data Analytics;Data Scientist;All Fields Related To Data Science. | Artificial Intelligence; Linux; Pembelajaran Mesin; Pemrograman; Python; SQL | Tidak Tersedia
Female,Sarjana Teknik,Teknik Informatika,Teknologi; Content Writing; Pengembangan Web,Business Knowledge; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills,No,Associate Consultant,2.6,Sarjana Teknik | Teknik Informatika | Technology;Content Writing;Web Development | Business Knowledge; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills | Associate Consultant
Male,Sarjana Teknik,Mechanical Engineering,Teknologi; Ilmuwan Data; Pengembangan Web,Java; Keterampilan Komunikasi; Pemrograman; SQL,No,Trainee,3.02,Sarjana Teknik | Mechanical Engineering | Technology;Data Scientist;Web Development | Java; Keterampilan Komunikasi; Pemrograman; SQL | Trainee
Male,Sarjana Teknik,Teknik Informatika,Teknologi; Perdagangan; Ilmuwan Data,Berpikir Analitis; Berpikir Kritis; Gathering Information; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; SQL,No,Tidak Tersedia,2.66,Sarjana Teknik | Teknik Informatika | Technology;Trading;Data Scientist | Berpikir Analitis; Berpikir Kritis; Gathering Information; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; SQL | Tidak Tersedia
Male,Sarjana Sains,Ilmu Komputer,Teknologi; Web Designing; Analisis Data; Digital Marketing; Ilmuwan Data; Pengembangan Web; Social Media Marketing,Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Keterampilan Komunikasi; Linux; Mendengarkan Aktif; Python; SQL,"Html,Css3, Javascript,Python",Tidak Tersedia,3.27,Sarjana Sains | Ilmu Komputer | Technology;Web Designing;Data Analytics;Digital Marketing;Data Scientist;Web Development;Social Media Marketing | Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Keterampilan Komunikasi; Linux; Mendengarkan Aktif; Python; SQL | Tidak Tersedia
Male,Sarjana Teknik,Teknologi Informasi,Penelitian; Social Justice; Understand Human Body,Membaca; Menulis,No,Insinyur Mekanik,2.94,"Sarjana Teknik | Teknologi Informasi | Research, Social Justice, Understand Human Body | Membaca; Menulis | Mechanical Engineer"
Male,Sarjana Teknik,Teknik Informatika,Mobile App Development,Javascript; Php; Programming Language C,Android Development,Mobile Application Developer,3.34,Sarjana Teknik | Teknik Informatika | Mobile App Development | Javascript; Php; Programming Language C | Mobile Application Developer
Female,Sarjana Sastra,English,Information Technology,Pemrograman,No,Tidak Tersedia,2.85,Sarjana Sastra | English | Information Technology | Pemrograman | Tidak Tersedia
Female,Sarjana Komputer,Aplikasi Komputer,Pengajaran; Teknologi; Web Designing; Content Writing,C++; Cloud Computing; Content Creation; Gathering Information; Java; Kepemimpinan; Keterampilan Komunikasi; Medical Knowledge; Mendengarkan Aktif; Menulis; Pemrograman; Problem Solving Skills; Risk Management Skills; SQL; Visualisasi Data (Power BI/Tableau),"C, Cpp, Java",Tidak Tersedia,3.04,Sarjana Komputer | Aplikasi Komputer | Teaching;Technology;Web Designing;Content Writing | C++; Cloud Computing; Content Creation; Gathering Information; Java; Kepemimpinan; Keterampilan Komunikasi; Medical Knowledge; Mendengarkan Aktif; Menulis; Pemrograman; Problem Solving Skills; Risk Management Skills; SQL; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Male,Sarjana Teknik,Programming,Teknologi; Perdagangan,Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Presentasi; Logika; Keterampilan Interpersonal; Membaca; Mendengarkan Aktif; Microsoft Excel; Pemrograman,No,Sql Developer,2.81,"Sarjana Teknik | Programming | Technology,Trading | Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Presentasi; Logika; Keterampilan Interpersonal; Membaca; Mendengarkan Aktif; Microsoft Excel; Pemrograman | Sql Developer"
Male,Sarjana Teknik,Teknik Informatika,Take Risk For Profits; Teknologi; Perdagangan; Kewirausahaan,Berpikir Analitis; Business Knowledge; Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Presentasi; Membaca; Mendengarkan Aktif; Menulis; Observation Skills; Risk Managing; Subject Knowledge,Nptel,Front End Developer,2.96,"Sarjana Teknik | Teknik Informatika | Take Risk For Profits, Technology, Trading, Entrepreneurship | Berpikir Analitis; Business Knowledge; Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Presentasi; Membaca; Mendengarkan Aktif; Menulis; Observation Skills; Risk Managing; Subject Knowledge | Front End Developer"
Male,Sarjana Teknik,Automobile Engineering,Analisis Data; Ilmuwan Data; Ilmu Data,Artificial Intelligence; Python; SQL; Visualisasi Data (Power BI/Tableau),Data Vizualization,Data Analyst,3.19,Sarjana Teknik | Automobile Engineering | Data Analytics;Data Scientist;All Fields Related To Data Science. | Artificial Intelligence; Python; SQL; Visualisasi Data (Power BI/Tableau) | Data Analyst
Female,Sarjana Komputer,Teknologi Informasi,Ilmuwan Data,Berpikir Analitis; Good Communication Skills; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; Python; SQL; Visualisasi Data (Power BI/Tableau),Board Infinity Data Science,Tidak Tersedia,2.8,Sarjana Komputer | Teknologi Informasi | Data Scientist | Berpikir Analitis; Good Communication Skills; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; Python; SQL; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Female,Sarjana Teknik,Aplikasi Komputer,Digital Marketing; Ilmuwan Data; Social Media Marketing,Designing Skills; Good Communication Skills; Keterampilan Interpersonal; Pemrograman; People Management; Social Media Marketing,No,Software Engineer,1.87,Sarjana Teknik | Aplikasi Komputer | Digital Marketing;Data Scientist;Social Media Marketing | Designing Skills; Good Communication Skills; Keterampilan Interpersonal; Pemrograman; People Management; Social Media Marketing | Software Engineer
Female,Sarjana Teknik,Ilmu Komputer,Teknologi; Analisis Data; Ilmuwan Data; Ilmu Data,Berpikir Kritis; Good Communication Skills; Keterampilan Komunikasi; Negotiation Skills; Python,Iso 14001,Tidak Tersedia,3.4,Sarjana Teknik | Ilmu Komputer | Technology;Data Analytics;Data Scientist;All Fields Related To Data Science. | Berpikir Kritis; Good Communication Skills; Keterampilan Komunikasi; Negotiation Skills; Python | Tidak Tersedia
Female,Sarjana Ekonomi,Teknik Informatika,Analisis Keuangan,Akuntansi; Business Knowledge; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Negotiation Skills,Ipcc Group 1,Articleship,3.0,Sarjana Ekonomi | Teknik Informatika | Financial Analysis | Akuntansi; Business Knowledge; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Negotiation Skills | Articleship
Male,Sarjana Teknik,Teknik Informatika,Analisis Keuangan; Penelitian; Teknologi; Understand Human Behaviour; Understand Human Body,Berpikir Analitis; Berpikir Kritis; Hukum Perdata & Pidana; Kecerdasan Buatan; Kepemimpinan; Kerja di Bawah Tekanan; Ml; Problem Solving Skills,No,Mahasiswa (Belum Bekerja),3.15,"Sarjana Teknik | Teknik Informatika | Financial Analysis, Research, Technology, Understand Human Behaviour, Understand Human Body | Berpikir Analitis; Berpikir Kritis; Hukum Perdata & Pidana; Kecerdasan Buatan; Kepemimpinan; Kerja di Bawah Tekanan; Ml; Problem Solving Skills | Student (Unemployed)"
Male,Sarjana Sains,Teknik Informatika,Teknologi,C++; Kepemimpinan; Keterampilan Komunikasi; Menulis; Observation Skills; Pemrograman; Python,No,Computer Software Engineer,3.12,Sarjana Sains | Teknik Informatika | Technology | C++; Kepemimpinan; Keterampilan Komunikasi; Menulis; Observation Skills; Pemrograman; Python | Computer Software Engineer
Male,Sarjana Teknik,Teknik Informatika,Cyber Secuirty,Burp Suite; Epolicy Orchestrator; Ethical Hacking; Ibm Qradar; Malware Analysis; Metasploit; Owasp; Security Information And Event Management (Siem; Splunk; Tenable Nessus; Threat & Vulnerability Management; Vulnerability Scanning,Offsenive Bug Bounty Hunter 2.0 ;Ethical Hacking: Trojans And Backdoors,Cyber Security Analyst,3.04,Sarjana Teknik | Teknik Informatika | Cyber Secuirty | Burp Suite; Epolicy Orchestrator; Ethical Hacking; Ibm Qradar; Malware Analysis; Metasploit; Owasp; Security Information And Event Management (Siem; Splunk; Tenable Nessus; Threat & Vulnerability Management; Vulnerability Scanning | Cyber Security Analyst
Male,Sarjana Teknik,Teknik Informatika,Penelitian,Editing (Penyuntingan); Membaca; Menulis; Observation Skills,No,Mahasiswa (Belum Bekerja),2.6,Sarjana Teknik | Teknik Informatika | Research | Editing (Penyuntingan); Membaca; Menulis; Observation Skills | Student (Unemployed)
Female,Sarjana Sains,Teknik Informatika,Penelitian; Game Industry; Ilmuwan Data,Artificial Intelligence; Berpikir Analitis; Business Knowledge; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; Visualisasi Data (Power BI/Tableau),Data Science,Tidak Tersedia,3.31,Sarjana Sains | Teknik Informatika | Research;Game Industry;Data Scientist | Artificial Intelligence; Berpikir Analitis; Business Knowledge; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Python; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Male,Sarjana Teknik,Statistics,Pengajaran; Web Designing; Analisis Data; Kepemerintahan; Ilmuwan Data; Ilmu Data; Sap Consultant In Mm; Information Technology; Machine Learning; Automotive Textile Machineryâ€™S,Artistic; Berpikir Kritis; Business Knowledge; Creative Skills; Designing Skills; Gathering Information; Hardware Skills; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Mendengarkan Aktif; Menulis; Negotiation Skills; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Risk Management Skills; Sap; Wealth Management,No,Tidak Tersedia,2.88,Sarjana Teknik | Statistics | Teaching;Web Designing;Data Analytics;Govt. Job;Data Scientist;All Fields Related To Data Science.;Sap Consultant In Mm;Information Technology;Machine Learning;Automotive Textile Machineryâ€™S | Artistic; Berpikir Kritis; Business Knowledge; Creative Skills; Designing Skills; Gathering Information; Hardware Skills; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Mendengarkan Aktif; Menulis; Negotiation Skills; Pembelajaran Mesin; Pemrograman; Problem Solving Skills; Risk Management Skills; Sap; Wealth Management | Tidak Tersedia
Male,Sarjana Teknik,Aplikasi Komputer,Penelitian; Analisis Data; Ilmuwan Data,Designing Skills; Mendengarkan Aktif; Python,From Ibm Machine Learning With Python,Modeler,2.68,Sarjana Teknik | Aplikasi Komputer | Research;Data Analytics;Data Scientist | Designing Skills; Mendengarkan Aktif; Python | Modeler
Male,Bba,Teknik Informatika,Analisis Keuangan; Penjualan/Pemasaran; Perdagangan; Supply Chain Analysis; Analisis Data; Industires; Blockchain; Salesforce Admin; Agriculture; Services; Excel,Akuntansi; Berpikir Analitis; Berpikir Kritis; Finance Related Skills; Hardware Skills; People Management; Product Knowledge,No,Tidak Tersedia,3.8,"Bba | Teknik Informatika | Financial Analysis;Sales/Marketing;Trading;Supply Chain Analysis;Data Analytics;Industires;Blockchain;Salesforce Admin;Agriculture, Services;Excel | Akuntansi; Berpikir Analitis; Berpikir Kritis; Finance Related Skills; Hardware Skills; People Management; Product Knowledge | Tidak Tersedia"
Male,Sarjana Teknik,Computer Software Engineer,Teknologi,Berpikir Analitis; Berpikir Kritis; Building Rapport; Business Knowledge; Editing (Penyuntingan); Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Logika; Microsoft Excel; Pemrograman; SQL; Visualisasi Data (Power BI/Tableau),No,Computer Software Engineer,3.29,Sarjana Teknik | Computer Software Engineer | Technology | Berpikir Analitis; Berpikir Kritis; Building Rapport; Business Knowledge; Editing (Penyuntingan); Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Logika; Microsoft Excel; Pemrograman; SQL; Visualisasi Data (Power BI/Tableau) | Computer Software Engineer
Male,Magister Komputer,Teknik Informatika,Teknologi; Analisis Data; Ilmu Data,Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Editing (Penyuntingan); Finance Related Skills; Gathering Information; Good Communication Skills; Java; Keterampilan Komunikasi; Mendengarkan Aktif; Negotiation Skills; Pemrograman; People Management; Problem Solving Skills; Python; Risk Management Skills; SQL,Selenium Testing Java,Test Analyst,2.89,Magister Komputer | Teknik Informatika | Technology;Data Analytics;All Fields Related To Data Science. | Artistic; Berpikir Analitis; Berpikir Kritis; Creative Skills; Editing (Penyuntingan); Finance Related Skills; Gathering Information; Good Communication Skills; Java; Keterampilan Komunikasi; Mendengarkan Aktif; Negotiation Skills; Pemrograman; People Management; Problem Solving Skills; Python; Risk Management Skills; SQL | Test Analyst
Male,Sarjana Teknik,Accountancy,Analisis Data; Ilmuwan Data; Machine Learning; Excel,Berpikir Analitis; Berpikir Kritis; C++; CAD/CAE (AutoCAD/Ansys); Cad; Cae(Autocad; Client Management; Gathering Information; Good Communication Skills; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Mengajar; Menulis; Negotiation Skills; People Management; Problem Solving Skills; Proe; Programming Language C; Python; Risk Management Skills; SQL; Seimensnx; Visualisasi Data (Power BI/Tableau),No,Senior Pmo - Data Analyst,3.04,Sarjana Teknik | Accountancy | Data Analytics;Data Scientist;Machine Learning;Excel | Berpikir Analitis; Berpikir Kritis; C++; CAD/CAE (AutoCAD/Ansys); Cad; Cae(Autocad; Client Management; Gathering Information; Good Communication Skills; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Mengajar; Menulis; Negotiation Skills; People Management; Problem Solving Skills; Proe; Programming Language C; Python; Risk Management Skills; SQL; Seimensnx; Visualisasi Data (Power BI/Tableau) | Senior Pmo - Data Analyst
Male,Sarjana Sains,Ilmu Komputer,Teknologi,Kecerdasan Buatan; Python,No,Computer Software Engineer,3.12,Sarjana Sains | Ilmu Komputer | Technology | Kecerdasan Buatan; Python | Computer Software Engineer
Male,Magister Administrasi Bisnis,Teknik Informatika,Teknologi; Perdagangan; Analisis Data; Service,Business Knowledge; Product Knowledge,No,Tidak Tersedia,2.4,Magister Administrasi Bisnis | Teknik Informatika | Technology;Trading;Data Analytics;Service | Business Knowledge; Product Knowledge | Tidak Tersedia
Male,Sarjana Teknik,Management,Web Designing; Kepemerintahan; Pengembangan Web,Akuntansi; Artistic; Berpikir Analitis; Berpikir Kritis; Business Knowledge; C++; Content Creation; Creative Skills; Editing (Penyuntingan); Finance Related Skills; Hr; Hukum Perdata & Pidana; Java; Keahlian Software Teknik (STAAD/ETABS); Keterampilan Presentasi; Mass Communication; Medical Knowledge; Menulis; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Proeficiency In Software Like Staad Pro; Python; Social Media Marketing; Visualisasi Data (Power BI/Tableau),Cad,Sales,2.76,Sarjana Teknik | Management | Web Designing;Govt. Job;Web Development | Akuntansi; Artistic; Berpikir Analitis; Berpikir Kritis; Business Knowledge; C++; Content Creation; Creative Skills; Editing (Penyuntingan); Finance Related Skills; Hr; Hukum Perdata & Pidana; Java; Keahlian Software Teknik (STAAD/ETABS); Keterampilan Presentasi; Mass Communication; Medical Knowledge; Menulis; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Proeficiency In Software Like Staad Pro; Python; Social Media Marketing; Visualisasi Data (Power BI/Tableau) | Sales
Female,Sarjana Teknik,Teknik Informatika,Teknologi,Artificial Intelligence; C++; Editing (Penyuntingan); Finance Related Skills; Java; Pemrograman; Python; SQL,No,Associate Consultant,2.48,Sarjana Teknik | Teknik Informatika | Technology | Artificial Intelligence; C++; Editing (Penyuntingan); Finance Related Skills; Java; Pemrograman; Python; SQL | Associate Consultant
Female,Sarjana Teknik,Teknik Informatika,Teknologi,C++; Kerja Tim; Logika; Menulis; Microsoft Excel; Problem Solving Skills,No,Mahasiswa (Belum Bekerja),2.85,Sarjana Teknik | Teknik Informatika | Technology | C++; Kerja Tim; Logika; Menulis; Microsoft Excel; Problem Solving Skills | Student (Unemployed)
Male,Sarjana Teknik,Teknologi Informasi,Teknologi; Industires; Information Technology,Dcs; Hardware Skills; Plc; Scada; Vlsi,Plc,Instrumentation And Control Engineer,3.43,Sarjana Teknik | Teknologi Informasi | Technology;Industires;Information Technology | Dcs; Hardware Skills; Plc; Scada; Vlsi | Instrumentation And Control Engineer
Male,B.Pharmacy,Java Programming & Website Designing,Analisis Keuangan; Teknologi; Supply Chain Analysis; Analisis Data; Ilmuwan Data; Pengembangan Web; Service; Infrastructure,Akuntansi; Artificial Intelligence; Berpikir Analitis; Business Knowledge; C++; Cloud Computing; Finance Related Skills; Good Communication Skills; Java; Keahlian Software Teknik (STAAD/ETABS); Keterampilan Komunikasi; Linux; Medical Knowledge; Pembelajaran Mesin; Proeficiency In Software Like Staad Pro; Python; SQL,Type Writting English  Skills,Tidak Tersedia,2.62,B.Pharmacy | Java Programming & Website Designing | Financial Analysis;Technology;Supply Chain Analysis;Data Analytics;Data Scientist;Web Development;Service;Infrastructure | Akuntansi; Artificial Intelligence; Berpikir Analitis; Business Knowledge; C++; Cloud Computing; Finance Related Skills; Good Communication Skills; Java; Keahlian Software Teknik (STAAD/ETABS); Keterampilan Komunikasi; Linux; Medical Knowledge; Pembelajaran Mesin; Proeficiency In Software Like Staad Pro; Python; SQL | Tidak Tersedia
Male,Sarjana Teknik,Teknik Informatika,Web Designing; Pengembangan Web,Javascript,No,Associate Consultant,3.8,Sarjana Teknik | Teknik Informatika | Web Designing;Web Development | Javascript | Associate Consultant
Female,Sarjana Teknik,Teknik Informatika,Analisis Data; Ilmuwan Data; Social Media Marketing,Aws; Berpikir Analitis; C++; Java; Python; SQL; Visualisasi Data (Power BI/Tableau),Sql,Software Engineer,3.23,Sarjana Teknik | Teknik Informatika | Data Analytics;Data Scientist;Social Media Marketing | Aws; Berpikir Analitis; C++; Java; Python; SQL; Visualisasi Data (Power BI/Tableau) | Software Engineer
Female,Sarjana Teknik,Teknologi Informasi,Teknologi; Understand Human Behaviour,Business Knowledge; Kepemimpinan; Kerja Tim; Keterampilan Komunikasi; Microsoft Excel; Ml; Negotiation Skills; People Management; Product Knowledge,"Course On R, Python, React,React Native,Javascript,Typescript",Computer Software Engineer,2.96,"Sarjana Teknik | Teknologi Informasi | Technology, Understand Human Behaviour | Business Knowledge; Kepemimpinan; Kerja Tim; Keterampilan Komunikasi; Microsoft Excel; Ml; Negotiation Skills; People Management; Product Knowledge | Computer Software Engineer"
Male,M.Sc,Teknologi Informasi,Analisis Keuangan; News Coverage; Penelitian; Penjualan/Pemasaran; Social Justice; Perdagangan; Understand Human Behaviour; Understand Human Body; Supply Chain Analysis; Web Designing; Content Writing; Analisis Data; Kepemerintahan; Game Industry; Digital Marketing; Home Interior Design; Retailer; Ilmuwan Data; Pengembangan Web; Market Reserach; Social Media Marketing; Social Causes; Ilmu Data; Navy Defence Related; Customer Care; Urban Planning,Berpikir Analitis; Berpikir Kritis; Client Management; Designing Skills; Editing (Penyuntingan); Gathering Information; Good Communication Skills; Hospitality; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Medical Knowledge; Mendengarkan Aktif; Menulis; Negotiation Skills; Pembelajaran Mesin; People Management; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills; Sales; Visualisasi Data (Power BI/Tableau),Data Science Course,Tidak Tersedia,2.99,M.Sc | Teknologi Informasi | Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Trading;Understand Human Behaviour;Understand Human Body;Supply Chain Analysis;Web Designing;Content Writing;Data Analytics;Govt. Job;Game Industry;Digital Marketing;Home Interior Design;Retailer;Data Scientist;Web Development;Market Reserach;Social Media Marketing;Social Causes;All Fields Related To Data Science.;Navy Defence Related;Customer Care;Urban Planning | Berpikir Analitis; Berpikir Kritis; Client Management; Designing Skills; Editing (Penyuntingan); Gathering Information; Good Communication Skills; Hospitality; Kepemimpinan; Keterampilan Komunikasi; Keterampilan Presentasi; Medical Knowledge; Mendengarkan Aktif; Menulis; Negotiation Skills; Pembelajaran Mesin; People Management; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills; Sales; Visualisasi Data (Power BI/Tableau) | Tidak Tersedia
Male,Sarjana Teknik,"Mathematics, Statistics And Computer Science",Mobile App Development,Architecture; C++; Java; Php; Python; SQL,Algorithmic Toolbox,Mobile Application Developer,3.19,"Sarjana Teknik | Mathematics, Statistics And Computer Science | Mobile App Development | Architecture; C++; Java; Php; Python; SQL | Mobile Application Developer"
Male,Sarjana Komputer,Teknik Informatika,Penelitian; Pengajaran; Teknologi; Kepemerintahan,Berpikir Kritis; Business Knowledge; C++; Mendengarkan Aktif; Negotiation Skills; Pemrograman; People Management,Cyber Security And Ethical Hacking,Tidak Tersedia,3.92,Sarjana Komputer | Teknik Informatika | Research;Teaching;Technology;Govt. Job | Berpikir Kritis; Business Knowledge; C++; Mendengarkan Aktif; Negotiation Skills; Pemrograman; People Management | Tidak Tersedia
Male,Sarjana Ekonomi,Teknik Informatika,Analisis Keuangan; Penelitian; Teknologi,Akuntansi; Business Knowledge; Cost Accounting; Kerja di Bawah Tekanan; Membaca; People Management,No,Chartered Accountant,2.76,"Sarjana Ekonomi | Teknik Informatika | Financial Analysis, Research, Technology | Akuntansi; Business Knowledge; Cost Accounting; Kerja di Bawah Tekanan; Membaca; People Management | Chartered Accountant"
Male,Magister Administrasi Bisnis,Teknik Informatika,Social Justice; Teknologi; Web Designing; Digital Marketing; Pengembangan Web; Market Reserach; Social Media Marketing; Information Technology; Machine Learning; Agriculture; Services,Artificial Intelligence; Artistic; Aws; Berpikir Kritis; Business Knowledge; Creative Skills; Designing Skills; Gathering Information; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Pembelajaran Mesin; Pemrograman; Php; Sales; Social Media Marketing; Us & Canada Recruitment (It,"Php, Html, Digital Marketing",Web Developer And Digital Marketer,2.2,"Magister Administrasi Bisnis | Teknik Informatika | Social Justice;Technology;Web Designing;Digital Marketing;Web Development;Market Reserach;Social Media Marketing;Information Technology;Machine Learning;Agriculture, Services | Artificial Intelligence; Artistic; Aws; Berpikir Kritis; Business Knowledge; Creative Skills; Designing Skills; Gathering Information; Good Communication Skills; Kepemimpinan; Keterampilan Komunikasi; Pembelajaran Mesin; Pemrograman; Php; Sales; Social Media Marketing; Us & Canada Recruitment (It | Web Developer And Digital Marketer"
Female,Sarjana Teknik,Electronics And Communication Engineering,Understand Human Behaviour; Ilmuwan Data; Pengembangan Web,Menulis; Pemrograman; Python,No,Tidak Tersedia,2.85,Sarjana Teknik | Electronics And Communication Engineering | Understand Human Behaviour;Data Scientist;Web Development | Menulis; Pemrograman; Python | Tidak Tersedia
Male,Sarjana Teknik,Aplikasi Komputer,Machine Learning; All Fields Related To Data Science,Backend Web Development; C++; Competitive Programming; Data Structures; Kivy; Pemecahan Masalah; Python; Spring Boot; Spring Framework,"Learning Spring With Spring Boot;
React Js",Software Developer,3.5,"Sarjana Teknik | Aplikasi Komputer | Machine Learning,All Fields Related To Data Science | Backend Web Development; C++; Competitive Programming; Data Structures; Kivy; Pemecahan Masalah; Python; Spring Boot; Spring Framework | Software Developer"
